MOP	language	text	length	rating_list	mean_rating
MOP2	en	We've still got the Dower House , and Lincolnshire is lovely in May . ’	12	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	4.0
MOP2	en	My first real friend was probably a boy called Adam .	10	4, 4, 4, 4, 4, 4, 4, 4, 4, 4	4.0
MOP2	en	She was wearing denim overalls and carrying a bucket and brush .	11	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	4.0
MOP2	en	In the next year he had custody of Rochester Castle .	10	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4	3.8125
MOP2	en	BOOKING is essential for a cycle ride around Wirral Country Park on Sunday when the leader will be Cheshire ranger Barry Jackson .	22	4, 4, 4, 4, 4, 4, 1, 4, 1, 1, 4, 4, 1	3.07692307692
MOP2	en	This expression is called the fundamental theorem of Riemannian geometry .	10	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	4.0
MOP2	en	Greg Hocking was one of those rare people who drift into teaching and find themselves , to their own surprise , absolutely cut out for the job .	25	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	4.0
MOP2	en	On appointment to office a new minister will take over responsibility for many departmental policies .	15	1, 4, 4, 4, 4, 1, 4, 4, 1, 4, 4, 4, 4, 4, 4	3.4
MOP2	en	When Rhun in his kindness lent an arm to raise him from his knees , he hung heavily still , clinging to his desperate humility .	23	4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4	3.75
MOP2	en	Figure shows how the A-measure per unit area varies with radiometer reading .	12	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4	3.75
MOP2	en	In some pubs fake hand pumps serve gassy beer .	9	1, 4, 4, 4, 4, 4, 4, 4, 1, 4, 1, 4, 1, 4, 1, 4	3.0625
MOP2	en	Preliminary work began last September following the appointment of two countryside officers who are employed full time on the project .	20	4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4	3.78571428571
MOP2	en	This is , of course , only a tendency , and the move away from local policemen to larger , centralised policing may reduce this effect .	22	4, 4, 1, 1, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4	3.4375
MOP2	en	Tod features another kind of dream in which he is a woman .	12	4, 1, 1, 4, 1, 4, 4, 4, 4, 4, 1, 4	3.0
MOP2	en	Valuable coaching can often come from drama school tutors who can give a fair assessment of the possibilities you may have prior to auditioning .	24	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	4.0
MOP2	en	Because simulated annealing is a stochastic algorithm , different runs of probeorder will not necessarily produce the same output probe order .	20	1, 1, 1, 1, 4, 4, 4, 4, 1, 4, 4, 4, 1, 4, 1, 1	2.5
MOP2	en	Although the music was animated , only the arms moved .	9	4, 4, 1, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 1	3.35714285714
MOP2	en	But the report also blasts authority bosses for failing to control the activities of 58-year-old Mr Watney , who took early retirement last year .	23	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1	3.6
MOP2	en	Some would of course reply personally ( he had included postage ) .	10	4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	3.8125
MOP2	en	Police are appealing for witnesses to the incident , which happened at 11am on Monday in Windsor Street , Toxteth .	18	4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4	3.72727272727
MOP2	en	The surface need not be perfectly flat or smooth .	9	4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4	3.8
MOP2	en	There are 5,733 empty council houses , almost 2,000 of which have been empty for more than a year .	18	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	4.0
MOP2	en	Heath ( 3.3 ) sums up one influential and long-established tradition in the study of class differences in education .	17	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	4.0
MOP2	en	And his price — his price can be of enormous use .	10	1, 4, 4, 4, 4, 4, 1, 4, 1, 1, 4, 4, 4, 4, 4	3.2
MOP2	en	There was a significant improvement in the attendance of miners at the Mansfield clinic , however , since this was much closer to their homes .	23	4, 4, 4, 4, 4, 1, 4, 1, 4, 4, 1, 4, 1, 4, 4	3.2
MOP2	en	‘ Then maybe most of the faults were on my side .	10	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	4.0
MOP2	en	Gere and Basinger star in the erotic thriller Final Analysis which Warner Home Video will released into video libraries by October 18 .	22	1, 4, 4, 4, 1, 1, 4, 4, 4, 1, 4, 4	3.0
MOP2	en	Recently , concern has grown that Michelangelo's ceiling of the Sistine chapel in Rome has been irreparably altered by the Vatican conservation team .	22	4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4	3.76923076923
MOP2	en	Disillusion me and get my sympathy at the same time .	10	1, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1	3.4
MOP2	en	The horse shot out like an arrow from a bow . ’	10	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	4.0
MOP2	en	The British Horse Society is anxious to find out why a third of them should have happened in this year alone .	21	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4	3.76923076923
