MOP	language	text	length	rating_list	mean_rating
MOP4	en	Even during 1980 Braniff continued to set record traffic levels and revenues .	12	4, 4, 3, 4, 4, 3, 3, 3, 4, 4, 4, 4, 3, 4, 3, 2, 3	3.47058823529
MOP4	en	The series is based on the "" Outlander "" novels written by Diana Gabaldon .	12	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3	3.93333333333
MOP4	en	There are also other desirable camping spots on this lake .	10	4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 3, 4, 4, 4, 3, 4, 3	3.72222222222
MOP4	en	To the southwest is the small crater Dunthorne .	8	4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 3, 3, 3	3.66666666667
MOP4	en	On their way to a picnic , Johnny , the Sprites and Gwen encounter a Bridge Troll ( Christian Borle ) .	17	4, 3, 3, 2, 2, 3, 4, 3, 2, 4, 3, 4, 3, 4, 4, 3, 2	3.11764705882
MOP4	en	The single peaked at number 19 in the United Kingdom .	10	4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	3.94736842105
MOP4	en	Weaver's time with the Yankees was very turbulent , bouncing in and out of the starting rotation .	16	3, 4, 3, 4, 4, 4, 4, 3, 3, 3, 4, 3, 4, 4, 4, 4, 4	3.64705882353
MOP4	en	International entrepreneurship program is a nine month program , on-top-of the bachelor's or the master's degree .	15	3, 4, 4, 4, 4, 3, 3, 3, 4, 1, 4, 4, 3, 3, 3	3.33333333333
MOP4	en	Continuum didn't see a future with Kid Rock after this , and released him from his contract in 1994 .	18	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4	3.93333333333
MOP4	en	They should also provide equipment and services to transport operators .	10	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	4.0
