MOP	language	text	length	rating_list	mean_rating
MOP4	ru	Декорация рамы картины и жест младенца бесспорно напоминают хранящуюся в Лувре «Маэста» Чимабуэ  .	12	4, 4, 4, 2, 3, 4, 4, 4, 4, 4, 4, 3, 4	3.69230769231
MOP4	ru	Историки и социологи отмечают распространенность в науке «множественных независимых открытий»  .	9	4, 4, 3, 4, 4, 4, 4, 4, 4, 4	3.9
MOP4	ru	Верховный Совет УССР ( ) — высший орган государственной власти и единственный законодательный орган Украинской ССР  .	13	4, 2, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4	3.76923076923
MOP4	ru	Существует легенда  , которую приводит аббат Пьер де Марка в «Истории Беарна» ( XVII век )  .	12	4, 3, 4, 1, 4, 4, 4, 4, 3, 4, 4	3.54545454545
MOP4	ru	Его произведения сентиментальны и живописуют хорошо знакомую писателю по личному опыту жизнь населения горного района  , тягу к лучшему будущему и отличаются сильным местным колоритом  .	24	4, 3, 3, 3, 3, 1, 4, 4, 3, 4, 4, 3, 2, 4, 1	3.06666666667
MOP4	ru	Послы с соборными постановлениями были отправлены на Восток и достигли Антиохии в апреле 344 года  .	15	4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4	3.76923076923
MOP4	ru	Соглашение предусматривает разделение доходов от продажи нефти  , а также дальнейшую интеграцию трёх восточных штатов ( Красное море  , Кассала и Гедареф ) в одну административную единицу  .	23	4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4	3.92857142857
MOP4	ru	С этого времени он начальник артиллерийского управления военного округа  , затем — исполняющий должность начальника отделения в Главном артиллерийском управлении войск А  .	20	4, 4, 4, 3, 3, 3, 4, 4, 4, 4, 3, 4, 4	3.69230769231
MOP4	ru	Ингибирование субстратом — частный случай бесконкурентного ингибирования  , когда две молекулы субстрата связываются с ферментом  , что препятствует образованию продукта  .	17	4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 2, 4, 4, 4, 4, 3	3.625
MOP4	ru	С течением времени союзники всё охотнее соглашались вносить деньги вместо поставки судов  .	12	4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4	3.83333333333
MOP4	ru	Квантунская армия располагала также бактериологическим оружием  , подготовленным для применения против советских войск ( см  .	13	4, 2, 4, 4, 4, 3, 4, 3, 4, 4, 4, 3, 4	3.61538461538
MOP4	ru	при династии Сефевидов императорские мануфактуры выпускали огромные напольные ковры  .	9	4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4	3.90909090909
MOP4	ru	С 2005 года стал выступать за сборную Узбекистана  .	8	4, 3, 4, 3, 3, 4, 4, 4, 4, 4, 4, 3, 4	3.69230769231
MOP4	ru	Организатором турнира является Skate Canada при поддержке ИСУ  .	8	4, 4, 4, 4, 2, 4, 3, 3, 4, 3, 4, 3, 4	3.53846153846
MOP4	ru	Наименование Mark II использовалось компанией Toyota на протяжении нескольких десятилетий и первоначально использовалось в составе названия Toyota Corona Mark II  .	20	4, 4, 4, 4, 3, 3, 3, 3, 4, 4, 4	3.63636363636
