MOP	language	text	length	rating_list	mean_rating
MOP2	adger-bad	There was him in the garden.	6	1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1	1.31578947368
MOP2	adger-bad	The man I saw shaved myself.	6	1, 1, 1, 1, 1, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4	1.45
MOP2	adger-bad	He analysis her was flawed.	5	1, 4, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 4, 1, 1, 1	1.6
MOP2	adger-bad	Danced extremely, Jerry frantically at the club.	7	1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1	1.0
MOP2	adger-bad	She tried to left.	4	1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1	1.16666666667
MOP2	adger-bad	I’d planned to have finished, and have finished I did.	10	1, 1, 1, 4, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1	1.47368421053
MOP2	adger-bad	The scissors is lost.	4	1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1	1.0
MOP2	adger-bad	A book of my is on the desk.	8	1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1	1.0
MOP2	adger-bad	I wondered who did Nancy poison.	6	1, 4, 4, 1, 4, 4, 1, 4, 1, 4, 1, 4, 1, 1, 4, 4, 4, 4, 4, 1	2.8
MOP2	adger-bad	What do you worry if the lawyer forgets at the office?	11	1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1	1.17647058824
MOP2	adger-bad	For to do that would be a mistake.	8	4, 1, 1, 4, 1, 4, 4, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4	2.33333333333
MOP2	adger-bad	Who did who poison?	4	1, 1, 1, 4, 4, 4, 4, 1, 1, 4, 1, 1, 1, 1, 4, 4, 1, 4, 1	2.26315789474
MOP2	adger-bad	Which the poem did Harry recite ?	6	1, 1, 4, 4, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 4	1.66666666667
MOP2	adger-bad	Owners of a pig loves to eat truffles.	8	1, 4, 1, 4, 1, 4, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4	1.75
