MOP	language	text	length	rating_list	mean_rating
MOP4	en	Bolívar es las zonas más afectadas de Colombia .	8	3, 4, 3, 3, 3, 1, 3, 4, 2, 2, 3, 3, 3, 2, 2	2.73333333333
MOP4	en	Le sobreviven sus tres hijos, y nietos y bisnietos .	9	3, 4, 3, 3, 4, 4, 3, 4, 4, 4, 3, 3, 4, 3, 3	3.46666666667
MOP4	en	Según el censo de 2010, había 239 personas que residían en la ciudad de Howard .	15	3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	3.86666666667
MOP4	en	Sin efecto especial se utiliza , excepto durante una breve escena al final de la película .	15	3, 1, 2, 3, 2, 2, 2, 1, 2, 4, 2, 3, 1, 3, 1	2.13333333333
MOP4	en	Los machos pueden alcanzar 7,9 cm de longitud total .	9	4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3	3.83333333333
MOP4	en	Este asalto marcó el comienzo de la campaña de Beijing para integrar el Tíbet en la República Popular de China .	20	4, 4, 4, 3, 4, 4, 3, 3, 4, 4, 4, 2	3.58333333333
MOP4	en	El propósito de una hackspace es concentrar los recursos y conocimientos para promover la investigación y el desarrollo .	18	3, 4, 4, 3, 4, 4, 4, 4, 4, 3, 3, 4, 3, 3	3.57142857143
MOP4	en	En la actualidad, todo el trabajo del grupo se ha centrado en esta empresa y ha dejado de actuar como grupo .	21	2, 4, 4, 4, 4, 3, 3, 2, 4, 4, 4, 4, 4	3.53846153846
MOP4	en	Para llevar a cabo este trabajo , el alcalde Mariano de Vedia y Mitre decidió demoler la iglesia de San Nicolás .	20	3, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 4	3.78571428571
MOP4	en	El único álbum de un sello , It Takes a Nation de lechones para contarnos En por extranjero residente, nunca fue lanzado oficialmente a la venta .	23	4, 2, 1, 1, 2, 3, 1, 1, 1, 1, 2, 1, 4, 1	1.78571428571
MOP4	en	El ingreso per cápita para la ciudad era $ 24.441 .	9	3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3	3.8
MOP4	en	Los misterios dolorosos son parte de la oración del rosario católico .	11	4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4	3.93333333333
MOP4	en	En agosto de 2011 , regresa a Argentina para jugar en Club Atlético Chacarita Juniors en enero de 2012 y pasó Patronato Paraná .	22	3, 1, 2, 2, 3, 4, 1, 3, 2, 3, 3, 3, 4, 1, 2	2.46666666667
MOP4	en	Lo que encontramos son los restos de fauna del Pleistoceno .	10	3, 4, 4, 4, 4, 4, 4, 2, 4, 4, 3, 4, 4, 3, 3	3.6
MOP4	en	Esta fue una consecuencia de la limitada apoyo electoral de la derecha chilena en su conjunto las elecciones al Congreso en 1965 .	22	2, 1, 2, 2, 3, 3, 1, 3, 2, 1, 2, 2, 3, 3, 2	2.13333333333
MOP4	en	Congreso Constitucional del Estado Libre y Soberano de México declaró " ciudadano del Estado de México . "	15	3, 2, 3, 4, 3, 4, 3, 3, 4, 4, 3, 2, 3, 3, 3, 1	3.0
MOP4	en	Formuló el alcance general de las operaciones y fue la inspiración para la organización en general .	16	2, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3, 4	3.69230769231
MOP4	en	Estas radiaciones se distinguen por sus diferentes longitudes de onda .	10	3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	3.85714285714
MOP4	en	A principios de 2008 preparado una edición de la poesía completa de Rubén Darío .	14	2, 2, 3, 2, 3, 3, 3, 3, 3, 4, 2, 3, 3, 1	2.64285714286
MOP4	en	Población total de 1.78 % eran hispanos o latinos de cualquier raza .	11	4, 3, 3, 3, 2, 4, 2, 2, 3, 4, 3, 2, 1, 2, 3	2.73333333333
MOP4	en	Con 12 goles Heynckes fue el máximo goleador de la competición .	11	2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	3.85714285714
MOP4	en	En 1888 Ignacio Escobar , el periódico dijo que el nuevo propietario, la venta al gobierno italiano, que instaló su embajada en el edificio .	23	3, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 3, 1	1.5
MOP4	en	En nuestro escritor vivió Colonia Emma Godoy Notas .	8	3, 3, 1, 3, 1, 3, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1	1.6875
MOP4	en	Sporting Clube Campomaiorense es un club de fútbol portugués de la ciudad de Campo Maior , en el distrito de Portalegre .	20	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3	3.85714285714
MOP4	en	Después de la rendición , el primer batallón de la 36 ª partió el estuario en septiembre y llegó a Cork en diciembre 1807 .	22	3, 3, 2, 3, 4, 2, 4, 3, 1, 4, 4, 3, 3, 4	3.07142857143
MOP4	en	La Plaza de los Dolores es una histórica plaza extramuros situado en Jerez de la Frontera (Andalucía , España ) .	17	4, 3, 4, 4, 3, 2, 4, 3, 3, 3, 2, 3, 3, 4, 3	3.2
MOP4	en	Localmente abundante en el sotobosque de las selvas tropicales en suelos de pizarra (200-1000 m ) .	14	3, 3, 3, 4, 2, 4, 1, 4, 4, 3, 4, 2, 2, 2, 4, 1	2.875
MOP4	en	La continuación de los arquitectos y arquitectos profesores islámicos apropiadas , según todos los indicios , la riqueza del mudéjar aragonés , declarado Patrimonio de la Humanidad .	24	2, 1, 1, 2, 3, 3, 1, 1, 2, 3, 3, 2, 3, 1, 2, 2	2.0
MOP4	en	Codo Jones rompió la cara Vera ' s en tres partes .	10	2, 3, 3, 2, 3, 3, 2, 1, 2, 3, 1, 2, 1, 1	2.07142857143
MOP4	en	Me disculpo con ustedes por todo esto que pasó .	9	3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	3.93333333333
MOP4	en	Fue la canción más tocada 14a de 2008 sobre Christian Contemporary Hit Radio .	13	3, 3, 2, 2, 1, 2, 3, 2, 3, 3, 2, 1, 2, 3	2.28571428571
MOP4	en	Las unidades oscila entre 3,4 y 3,85 metros .	8	2, 1, 3, 2, 2, 1, 4, 4, 3, 4, 2, 2, 1, 3, 1	2.33333333333
MOP4	en	El duque era el nieto , en su madre ( Isabel de Borja ) de San Francisco de Borja ( III General de la Compañía de Jesús ) .	23	3, 3, 2, 2, 3, 2, 1, 4, 3, 3, 2, 2, 2	2.46153846154
MOP4	en	Ella ha tenido varios papeles en películas y series de televisión .	11	2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	3.86666666667
MOP4	en	Después de la caída del Imperio Romano de Occidente , en las que se desarrolló como una ciudad floreciente , se sustrajo al dominio Lombardo .	23	3, 1, 2, 3, 4, 3, 3, 4, 2, 4, 3, 4, 2, 2	2.85714285714
MOP4	en	El 26 de noviembre 1994 Maciel celebró sus cincuenta sacerdotal .	10	4, 4, 3, 3, 2, 2, 3, 2, 2, 2, 3, 2, 3, 3, 2, 2	2.625
MOP4	en	Diwaniya (o Diwaniya ) es la capital de la provincia iraquí de Al Qadisyah .	12	4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	3.9375
MOP4	en	Ingresó en la carrera militar de los jóvenes y recibió el grado de coronel .	14	2, 3, 4, 4, 4, 2, 4, 4, 2, 3, 2, 4, 3, 1, 2	2.93333333333
MOP4	en	Tanto Sam Prekop y Archer Prewitt , los miembros del grupo han lanzado álbumes en solitario .	14	2, 1, 3, 4, 3, 4, 3, 4, 4, 3, 1, 4, 4, 3	3.07142857143
MOP4	en	Una vez revelado , la ejecución de todos los nobles recibieron la orden de recibir este evento llamado " Bloody Día Arad . "	20	4, 2, 3, 3, 3, 3, 3, 1, 1, 4, 2, 3, 2, 1, 2	2.46666666667
MOP4	en	La economía europea depende de la circulación de la moneda de oro y plata, pero su escasez había sumido a Europa en la recesión .	24	3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4	3.83333333333
MOP4	en	Dirección: C / / n Vallecas (Madrid ) Teléfono Puerto Reinosa s : 91 331 14 86 Miembros / Suscriptores : 300 aprox .	16	2, 1, 1, 2, 3, 3, 3, 3, 3, 1, 1, 2, 3, 4, 1, 1	2.125
MOP4	en	El primer autor que consiguió entrar en el Salón de la Fama fue el RWA Nora Roberts .	17	4, 4, 4, 4, 4, 3, 4, 3, 4, 3, 4, 4, 4, 3, 3	3.66666666667
MOP4	en	La suite consta de dos herramientas : BizAgi Studio , construcción de módulos , y BizAgi BPM Server para la ejecución y el control .	21	3, 4, 4, 4, 1, 1, 4, 4, 4, 3, 4, 3, 1, 1	2.92857142857
MOP4	en	Su mayor éxito en el escenario llegó en 1914 cuando protagonizó " Daddy Long Legs ", adaptación de la novela de Jean Webster .	20	3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4	3.8
MOP4	en	Cuba es una molécula de hidrocarburo sintético con ocho átomos de carbono dispuestos formó los vértices de un cubo , de ahí su nombre .	22	3, 3, 1, 2, 2, 3, 3, 3, 1, 1, 2, 2, 3, 4, 2	2.33333333333
MOP4	en	Sin embargo , esto sólo tiene una duración de un mes , ya que es el momento en que Homer pasa todo el ejercicio presupuestario .	23	3, 2, 4, 4, 4, 3, 3, 1, 4, 4, 3, 3, 3, 2	3.07142857143
MOP4	en	Jiandi lo tomó y lo puso en la boca , pero se tragó por error .	14	3, 3, 4, 3, 3, 3, 2, 3, 4, 3, 3, 3, 3, 3	3.07142857143
MOP4	en	También es uno de los distritos de negocios de Shanghai .	10	2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 2	3.66666666667
MOP4	en	Y añade , es útil contra la fiebre , para purificar la garganta y el pecho .	13	3, 4, 4, 4, 3, 3, 4, 4, 4, 4, 2, 4, 3, 4, 3	3.53333333333
